Name,Position,Weight,Height,Age,Team
Maurice Hurst,DT,290,74,29,cleveland-browns
Germain Ifedi,OG,325,77,30,cleveland-browns
Jerry Jeudy,WR,195,73,25,cleveland-browns
Sam Kamara,DE,272,72,26,cleveland-browns
Isaiah McGuire,DE,268,76,23,cleveland-browns
Rodney McLeod,DB,185,70,34,cleveland-browns
Cameron Mitchell,DB,191,71,23,cleveland-browns
Elijah Moore,WR,180,70,24,cleveland-browns
Greg Newsome,DB,192,72,24,cleveland-browns
David Njoku,TE,246,76,28,cleveland-browns
Ogbonnia Okoronkwo,DE,250,74,29,cleveland-browns
Ethan Pocic,C,320,78,29,cleveland-browns
Winston Reid,LB,225,72,25,cleveland-browns
Pierre Strong,RB,215,71,25,cleveland-browns
Rex Sunahara,LS,242,78,28,cleveland-browns
Wyatt Teller,OG,315,76,30,cleveland-browns
Cameron Thomas,DE,265,76,24,cleveland-browns
Dorian Thompson-Robinson,QB,203,74,25,cleveland-browns
Juan Thornhill,DB,205,72,29,cleveland-browns
Jamari Thrash,WR,190,72,23,cleveland-browns
Cedric Tillman,WR,215,75,24,cleveland-browns
Dalvin Tomlinson,DT,325,75,30,cleveland-browns
Denzel Ward,DB,190,71,27,cleveland-browns
Nathaniel Watson,LB,233,72,24,cleveland-browns
Blake Whiteheart,TE,250,76,24,cleveland-browns
Jedrick Wills,OT,307,76,25,cleveland-browns
Jameis Winston,QB,230,76,30,cleveland-browns
Bailey Zappe,QB,215,73,25,cleveland-browns
Hakeem Adeniji,OT,315,76,26,cleveland-browns
David Bell,WR,212,73,23,cleveland-browns
Brandon Bouyer-Randle,LB,240,74,27,cleveland-browns
Tony Brown,DB,198,72,29,cleveland-browns
Michael Hall,DT,300,75,21,cleveland-browns
Myles Harden,DB,195,71,22,cleveland-browns
